CMS,Component,Sub-component,Padding start,Variable,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID,Comments,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 3),card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 4),card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct text half left,,top,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct text half left,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct text half left,,left,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct text half left,,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
ct text + profiles,ct profile half right,card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,left,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct text half right,,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct carousel buttons,,left,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct carousel buttons,,right,?,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 1) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 2) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - container,top,Padding B,,,,,,,,,,,,,,,,,
ct profiles + text,ct profile half left,card (variant 3) - container,bottom,Padding B,,,,,,,,,,,,,,,,,
