"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Variable,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
body copy b,ct text + promos,ct text + promos (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct text + promos,ct text + promos (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct text + promos,ct text + promos (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct text + promos,ct text + promos (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct text + promos,ct text + promos (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct text + promos,ct text + promos (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct text + promos,ct text + promos (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + promos,ct text + promos (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + promos,ct text + promos (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct text + promos,ct text + promos (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + promos,ct text + promos (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + promos,ct text + promos (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + promos,ct text + promos (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + promos,ct text + promos (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + promos,ct text + promos (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct promos + text,ct text + promos (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct promos + text,ct text + promos (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct promos + text,ct text + promos (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct promos + text,ct text + promos (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct promos + text,ct text + promos (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct promos + text,ct text + promos (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct promos + text,ct text + promos (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct promos + text,ct text + promos (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct promos + text,ct text + promos (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct promos + text,ct text + promos (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct promos + text,ct text + promos (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct promos + text,ct text + promos (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct promos + text,ct text + promos (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct promos + text,ct text + promos (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct promos + text,ct text + promos (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + portals,ct text + portals (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct text + portals,ct text + portals (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct text + portals,ct text + portals (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct text + portals,ct text + portals (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct text + portals,ct text + portals (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct text + portals,ct text + portals (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct text + portals,ct text + portals (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + portals,ct text + portals (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + portals,ct text + portals (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct text + portals,ct text + portals (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + portals,ct text + portals (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + portals,ct text + portals (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + portals,ct text + portals (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + portals,ct text + portals (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + portals,ct text + portals (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct portals + text,ct text + portals (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct portals + text,ct text + portals (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct portals + text,ct text + portals (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct portals + text,ct text + portals (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct portals + text,ct text + portals (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct portals + text,ct text + portals (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct portals + text,ct text + portals (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct portals + text,ct text + portals (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct portals + text,ct text + portals (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct portals + text,ct text + portals (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct portals + text,ct text + portals (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct portals + text,ct text + portals (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct portals + text,ct text + portals (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct portals + text,ct text + portals (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct portals + text,ct text + portals (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct quotes + image,ct quotes + image (left) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct quotes + image,ct quotes + image (left) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct quotes + image,ct quotes + image (left) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct quotes + image,ct quotes + image (left) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct quotes + image,ct quotes + image (left) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct quotes + image,ct quotes + image (left) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct quotes + image,ct quotes + image (left) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct quotes + image,ct quotes + image (left) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct quotes + image,ct quotes + image (left) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct quotes + image,ct quotes + image (left) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct quotes + image,ct quotes + image (left) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct quotes + image,ct quotes + image (left) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct quotes + image,ct quotes + image (left) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct quotes + image,ct quotes + image (left) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct quotes + image,ct quotes + image (left) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + quotes,ct quotes + image (right) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct image + quotes,ct quotes + image (right) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct image + quotes,ct quotes + image (right) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct image + quotes,ct quotes + image (right) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct image + quotes,ct quotes + image (right) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct image + quotes,ct quotes + image (right) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct image + quotes,ct quotes + image (right) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + quotes,ct quotes + image (right) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct image + quotes,ct quotes + image (right) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct image + quotes,ct quotes + image (right) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image + quotes,ct quotes + image (right) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + quotes,ct quotes + image (right) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct image + quotes,ct quotes + image (right) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image + quotes,ct quotes + image (right) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + quotes,ct quotes + image (right) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image + quotes,ct quotes half - source,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct image + quotes,ct quotes half - text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct quotes + image,ct quotes half - source,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct quotes + image,ct quotes half - text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + stats,ct text + stats (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct text + stats,ct text + stats (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct text + stats,ct text + stats (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct text + stats,ct text + stats (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct text + stats,ct text + stats (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct text + stats,ct text + stats (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct text + stats,ct text + stats (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + stats,ct text + stats (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + stats,ct text + stats (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct text + stats,ct text + stats (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + stats,ct text + stats (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + stats,ct text + stats (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + stats,ct text + stats (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + stats,ct text + stats (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + stats,ct text + stats (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct stats + text,ct text + stats (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct stats + text,ct text + stats (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct stats + text,ct text + stats (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct stats + text,ct text + stats (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct stats + text,ct text + stats (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct stats + text,ct text + stats (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct stats + text,ct text + stats (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct stats + text,ct text + stats (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct stats + text,ct text + stats (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct stats + text,ct text + stats (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct stats + text,ct text + stats (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct stats + text,ct text + stats (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct stats + text,ct text + stats (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct stats + text,ct text + stats (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct stats + text,ct text + stats (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct text + profiles,ct text + profiles (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + profiles,ct text + profiles (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + profiles,ct text + profiles (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + profiles,ct text + profiles (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + profiles,ct text + profiles (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct profiles + text,ct text + profiles (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct profiles + text,ct text + profiles (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct profiles + text,ct text + profiles (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct profiles + text,ct text + profiles (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct profiles + text,ct text + profiles (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + cards,ct text + cards (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct text + cards,ct text + cards (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct text + cards,ct text + cards (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct text + cards,ct text + cards (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct text + cards,ct text + cards (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct text + cards,ct text + cards (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct text + cards,ct text + cards (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + cards,ct text + cards (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + cards,ct text + cards (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct text + cards,ct text + cards (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
