"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Variable,Opacity,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 1) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 1) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 1) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stories end-of-page,stories end-of-page - card,story card (variant 1) - content background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 2) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 2) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 2) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 2) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stories end-of-page,stories end-of-page - card,story card (variant 2) - content background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stories end-of-page,stories end-of-page - card,story card (variant 3) - social handle,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 3) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 3) - date,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories end-of-page - card,story card (variant 3) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stories end-of-page,stories end-of-page - card,story card (variant 3) - content background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,opacity 0.4,stories end-of-page,stories carousel end-of-page - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories carousel - title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,stories end-of-page,stories carousel end-of-page - more stories button,copy on light - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,stories end-of-page,stories carousel end-of-page - more stories button,copy on light - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories carousel end-of-page - more stories button,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stories end-of-page,stories carousel end-of-page - more stories button,copy on light - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stories end-of-page,stories carousel end-of-page - more stories button,copy on light - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stories end-of-page,stories carousel end-of-page - next/previous button,next/previous style a - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,stories end-of-page,stories carousel end-of-page - next/previous button,next/previous style a - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,opacity 0.5,stories end-of-page,stories carousel end-of-page - next/previous button,next/previous style a (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,opacity 0.5,stories end-of-page,stories carousel end-of-page - next/previous button,next/previous style a (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stories end-of-page,stories carousel end-of-page - next/previous button,next/previous style a (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stats carousel,stats carousel (variant 1) - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 1) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stats carousel,stats carousel (variant 1) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 1) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stats carousel,stats carousel (variant 2) - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 2) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stats carousel,stats carousel (variant 2) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 2) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stats carousel,stats carousel (variant 3) - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 3) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stats carousel,stats carousel (variant 3) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 3) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stats carousel,stats carousel (variant 4) - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 4) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stats carousel,stats carousel (variant 4) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 4) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 1) - next/previous button,next/previous style b - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 1) - next/previous button,next/previous style b - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 1) - next/previous button,next/previous style b (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 1) - next/previous button,next/previous style b (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 1) - next/previous button,next/previous style b (hover) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 1) - next/previous button,next/previous style b (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 2) - next/previous button,next/previous style b - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 2) - next/previous button,next/previous style b - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 2) - next/previous button,next/previous style b (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 2) - next/previous button,next/previous style b (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 2) - next/previous button,next/previous style b (hover) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 2) - next/previous button,next/previous style b (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 3) - next/previous button,next/previous style b - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 3) - next/previous button,next/previous style b - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 3) - next/previous button,next/previous style b (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 3) - next/previous button,next/previous style b (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 3) - next/previous button,next/previous style b (hover) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 3) - next/previous button,next/previous style b (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 4) - next/previous button,next/previous style d - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 4) - next/previous button,next/previous style d - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,stats carousel,stats carousel (variant 4) - next/previous button,next/previous style d (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats carousel,stats carousel (variant 4) - next/previous button,next/previous style d (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 4) - next/previous button,next/previous style d (hover) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,stats carousel,stats carousel (variant 4) - next/previous button,next/previous style d (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct text + stats,ct stats carousel (alternate) - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct stats + text,ct stats carousel (alternate) - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel - next/previous button,next/previous style a - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel - next/previous button,next/previous style a - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel - next/previous button,next/previous style a (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel - next/previous button,next/previous style a (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel - next/previous button,next/previous style a (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel - next/previous button,next/previous style a - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel - next/previous button,next/previous style a - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel - next/previous button,next/previous style a (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel - next/previous button,next/previous style a (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel - next/previous button,next/previous style a (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - divider,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - link - icon (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - link - text (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - ordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - ordered list - marker text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - primary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - primary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - primary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - primary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - quote - quotemark,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - table - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - table - td background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct text + stats,ct stats carousel text half (left) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - divider,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - link - icon (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - link - text (hover),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - ordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - ordered list - marker text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - primary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - primary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - primary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - primary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - quote - quotemark,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - secondary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - secondary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - secondary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - secondary button (hover) - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - table - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - table - td background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - table - th background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - tertiary button - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - tertiary button - border,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - tertiary button (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - unordered list - marker background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,ct stats + text,ct stats carousel text half (right) - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct text + stats,ct stats carousel card half (right) - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel card half (right) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct text + stats,ct stats carousel card half (right) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct text + stats,ct stats carousel card half (right) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,ct stats + text,ct stats carousel card half (left) - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,ct stats + text,ct stats carousel card half (left) - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,ct stats + text,ct stats carousel card half (left) - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
